NODE_NAME            ASN        POD_NAME                                               
seed-k3s-worker2     AS63       as63brd-ix63-1.63.0.63-7b44c95cc5-67mfk                
seed-k3s-worker2     AS70       as70brd-ix70-1.70.0.70-74b9f96dbc-cstnl                
seed-k3s-worker2     AS73       as73brd-ix73-1.73.0.73-58848bcb99-t9nwh                
seed-k3s-worker2     AS75       as75brd-ix75-1.75.0.75-fd8679c5f-ghwxw                 
seed-k3s-worker2     AS94       as94brd-ix94-1.94.0.94-58d865447f-6xdq8                
seed-k3s-worker2     AS99       as99brd-ix99-1.99.0.99-b986d7979-mq6wz                 
seed-k3s-worker2     AS108      as108brd-ix108-1.108.0.108-6f9db999fc-28qkv            
seed-k3s-worker2     AS122      as122brd-ix122-1.122.0.122-5c5858c88f-6qls8            
seed-k3s-worker2     AS126      as126brd-ix126-1.126.0.126-787bf4f7d9-ptnvf            
seed-k3s-worker2     AS128      as128brd-ix128-1.128.0.128-7fddf4984f-z8tvz            
seed-k3s-worker2     AS135      as135brd-ix135-1.135.0.135-77d7876b4f-9vzkk            
seed-k3s-worker2     AS156      as156brd-ix156-1.156.0.156-78dfcfdf9-ktfp2             
seed-k3s-worker2     AS167      as167brd-ix167-1.167.0.167-59696bb7bc-rv4nj            
seed-k3s-worker2     AS189      as189brd-ix189-1.189.0.189-58489985f5-8xdrw            
seed-k3s-worker2     AS206      as206brd-ix206-1.206.0.206-687596f955-rdnd5            
seed-k3s-worker2     AS221      as221brd-ix221-1.221.0.221-78f857df97-5v6jr            
seed-k3s-worker2     AS237      as237brd-ix237-1.237.0.237-5d9479b55f-k6q8k            
seed-k3s-worker2     AS296      as296brd-ix296-2.40.1.40-98cb79745-2f6dr               
seed-k3s-worker2     AS314      as314brd-ix314-2.58.1.58-67f8948b6f-hhrcd              
seed-k3s-worker2     AS344      as344brd-ix344-2.88.1.88-779c6b96b9-jwdzw              
seed-k3s-worker2     AS346      as346brd-ix346-2.90.1.90-59547fd64c-fxjbs              
seed-k3s-worker2     AS352      as352brd-ix352-2.96.1.96-7bb75654b5-425cc              
seed-k3s-worker2     AS495      as495brd-ix495-2.239.1.239-79dd7469b9-l7mx8            
seed-k3s-worker2     AS533      as533brd-ix533-3.21.2.21-67c59d78c5-vmd8w              
seed-k3s-worker2     AS2010     as2010brd-r106-1.106.7.218-68b4ff9d9b-j64w8            
seed-k3s-worker2     AS2010     as2010brd-r206-1.206.7.218-6d7dcb775d-ncfq9            
seed-k3s-worker2     AS2010     as2010brd-r23-1.23.7.218-656f75c4b5-f2cwk              
seed-k3s-worker2     AS2010     as2010brd-r237-1.237.7.218-694586d86b-d57rw            
seed-k3s-worker2     AS2010     as2010brd-r339-2.83.7.218-5947d997bc-zwrxc             
seed-k3s-worker2     AS2010     as2010brd-r403-2.147.7.218-67ffd8b687-g8bqc            
seed-k3s-worker2     AS2010     as2010brd-r533-3.21.7.218-877c95757-2mk79              
